ED, PFS, HV
0, 50, 8.7463277E7
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 
1501.8764596458452, 58236, 

